N,topo,Qstar,Q,delta,signedDelta,imMax,rigidity,K,rate
4,star,1.878584,1.884926,0.006342,0.006342,4.440978866e-16,0.767950045,1.6956,1.320445822
4,star,1.878584,1.885701,0.007117,0.007117,2.215325247e-16,0.720517764,1.9262,1.31999596
4,star,1.878584,1.88657,0.007986,0.007986,1.92120625e-16,0.601416413,2.7647,1.319491422
4,star,1.878584,1.887545,0.008962,0.008962,3.624911379e-16,0.771506167,1.68,1.3189256
4,star,1.878584,1.88864,0.010056,0.010056,9.45633072e-16,0.776583485,1.6581,1.318291097
4,star,1.878584,1.889868,0.011284,0.011284,3.330662762e-16,0.777652093,1.6536,1.317579636
4,star,1.878584,1.891247,0.012663,0.012663,2.22048077e-16,0.681470965,2.1533,1.316781955
4,star,1.878584,1.892793,0.014209,0.014209,1.757437511e-15,0.773833472,1.67,1.315887702
4,star,1.878584,1.894529,0.015945,0.015945,1.136243877e-16,0.734682741,1.8527,1.314885301
4,star,1.878584,1.896476,0.017892,0.017892,4.490680695e-16,0.782476513,1.6333,1.313761823
4,star,1.878584,1.898661,0.020078,0.020078,1.110223025e-16,0.613653793,2.6555,1.312502831
4,star,1.878584,1.901114,0.02253,0.02253,5.495149241e-17,0.782261976,1.6342,1.311092217
4,star,1.878584,1.903865,0.025282,0.025282,2.688821388e-17,0.776535359,1.6584,1.309512018
4,star,1.878584,1.906953,0.028369,0.028369,7.788306351e-16,0.77963857,1.6452,1.307742224
4,star,1.878584,1.910418,0.031834,0.031834,8.817037305e-16,0.779080536,1.6475,1.305760562
4,star,1.878584,1.914306,0.035723,0.035723,5.251604273e-16,0.786521565,1.6165,1.303542267
4,star,1.878584,1.91867,0.040086,0.040086,4.983398305e-16,0.787429597,1.6128,1.301059837
4,star,1.878584,1.923566,0.044982,0.044982,1.1379786e-15,0.76136992,1.7251,1.298282775
4,star,1.878584,1.92906,0.050476,0.050476,7.771529151e-16,0.78214388,1.6347,1.295177313
4,star,1.878584,1.935225,0.056641,0.056641,8.620543267e-16,0.741576763,1.8184,1.291706129
4,star,1.878584,1.942143,0.063559,0.063559,7.203972203e-16,0.771758626,1.6789,1.287828063
4,star,1.878584,1.949905,0.071322,0.071322,2.53513573e-16,0.77889205,1.6483,1.283497826
4,star,1.878584,1.958617,0.080033,0.080033,3.737593408e-16,0.778128513,1.6516,1.278665725
4,star,1.878584,1.968392,0.089808,0.089808,4.863085228e-16,0.574274443,3.0322,1.273277408
4,star,1.878584,1.979361,0.100777,0.100777,2.498001805e-16,0.772637254,1.6751,1.267273643
