N,topo,Q,pc,pr,dn,route,frozen,imMax,nXy,rate,rigidity
5,chain,0.639138,3,3,0,UnfreezingSeEp,1,4.563478606e-16,0.039688411,0.124193543,0.960418739
5,chain,0.722615,2,2,0,UnfreezingSeEp,1,5.562168628e-17,0.050986699,0.141117174,0.949189327
5,chain,0.816995,3,3,0,UnfreezingSeEp,1,7.843561375e-17,0.0656005,0.160589735,0.934689138
5,chain,0.923702,2,2,0,UnfreezingSeEp,1,1.242754094e-16,0.084573779,0.183119263,0.915903793
5,chain,1.044345,1,1,0,UnfreezingSeEp,1,1.441240861e-16,0.109334103,0.209383087,0.891455533
5,chain,1.180746,1,1,0,UnfreezingSeEp,1,5.425547829e-16,0.14188101,0.240324411,0.859429507
5,chain,1.334961,2,2,0,UnfreezingSeEp,1,6.38536726e-16,0.185114885,0.277333681,0.817071402
5,chain,1.509319,3,3,0,UnfreezingSeEp,1,1.449734465e-15,0.243472797,0.322626011,0.760201631
5,chain,1.706449,2,2,0,UnfreezingSeEp,1,1.749758477e-18,0.324354568,0.380151417,0.681890908
5,chain,1.929327,1,1,0,UnfreezingSeEp,1,1.347691888e-15,0.442175864,0.458373275,0.568645788
5,chain,2.181313,2,2,0,UnfreezingSeEp,1,1.594637364e-16,0.636802865,0.583871026,0.382781814
5,chain,2.466212,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.810960266,1
5,chain,2.788321,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.717277547,1
5,chain,3.1525,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.634417124,1
5,chain,3.564244,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.561128797,1
5,chain,4.029766,0,1,1,UnfreezingSeEp,0,1e+00,1,0.496306791,1
5,chain,4.556088,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.43897307,1
5,chain,5.151153,0,1,1,UnfreezingSeEp,0,1e+00,1,0.388262582,1
5,chain,5.823939,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.343410206,1
5,chain,6.584596,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.30373921,1
5,chain,7.444602,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.268651036,1
5,chain,8.416932,0,1,1,UnfreezingSeEp,0,1e+00,1,0.237616273,1
5,chain,9.516257,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.210166668,1
5,chain,10.759163,0,1,1,UnfreezingSeEp,0,1e+00,1,0.185888062,1
5,chain,12.164404,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.164414138,1
5,chain,13.753182,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.145420898,1
5,chain,15.549467,0,1,1,UnfreezingSeEp,0,1.732050808e+00,1,0.12862177,1
5,chain,17.580364,0,1,1,UnfreezingSeEp,1,6.958335908e-18,1,0.11376329,1
5,chain,19.876513,0,1,1,UnfreezingSeEp,1,2.147355575e-16,1,0.100621272,1
